name,logo_url,description,website_url,location_url,latitude,longitude
"Acme Industrial","https://via.placeholder.com/100x100/007bff/ffffff?text=AI","Leading industrial supplier with 20+ years of experience","https://acme-industrial.com","https://maps.google.com/?q=123+Main+St+New+York+NY",40.7128,-74.0060
"Global Equipment Co","https://via.placeholder.com/100x100/28a745/ffffff?text=GE","Worldwide equipment distributor specializing in heavy machinery","https://global-equipment.com","https://maps.google.com/?q=456+Oak+Ave+Los+Angeles+CA",34.0522,-118.2437
"Tech Solutions Inc","https://via.placeholder.com/100x100/dc3545/ffffff?text=TS","Technology and industrial solutions provider","https://tech-solutions.com","https://maps.google.com/?q=789+Pine+St+Chicago+IL",41.8781,-87.6298
"Metro Manufacturing","https://via.placeholder.com/100x100/ffc107/000000?text=MM","Manufacturing equipment and industrial supplies","https://metro-manufacturing.com","https://maps.google.com/?q=321+Industrial+Blvd+Houston+TX",29.7604,-95.3698
"Pacific Distributors","https://via.placeholder.com/100x100/17a2b8/ffffff?text=PD","West Coast distribution network for industrial products","https://pacific-distributors.com","https://maps.google.com/?q=654+Warehouse+Dr+Seattle+WA",47.6062,-122.3321
"Atlantic Supply Co","https://via.placeholder.com/100x100/6f42c1/ffffff?text=AS","East Coast supplier of industrial components","https://atlantic-supply.com","https://maps.google.com/?q=987+Supply+Chain+Way+Miami+FL",25.7617,-80.1918
"Midwest Machinery","https://via.placeholder.com/100x100/fd7e14/ffffff?text=MM","Heavy machinery and equipment specialists","https://midwest-machinery.com","https://maps.google.com/?q=147+Machine+St+Detroit+MI",42.3314,-83.0458
"Southwest Systems","https://via.placeholder.com/100x100/20c997/ffffff?text=SS","Industrial automation and control systems","https://southwest-systems.com","https://maps.google.com/?q=258+Tech+Park+Phoenix+AZ",33.4484,-112.0740
"Northern Equipment","https://via.placeholder.com/100x100/e83e8c/ffffff?text=NE","Cold weather industrial equipment solutions","https://northern-equipment.com","https://maps.google.com/?q=369+Arctic+Way+Minneapolis+MN",44.9778,-93.2650
"Coastal Industries","https://via.placeholder.com/100x100/6c757d/ffffff?text=CI","Marine and coastal industrial equipment","https://coastal-industries.com","https://maps.google.com/?q=741+Port+St+Portland+OR",45.5152,-122.6784
